Genomic_position,Tree1,Tree2,Diff_site,Support
1,-156.16000,-156.16100,0.00100,Tree1
2,-122.15800,-122.19800,0.04000,Tree1
3,-131.03999,-130.89301,-0.14700,Tree2
4,-149.06799,-149.06100,-0.00700,Tree2
5,-132.12100,-132.08099,-0.04000,Tree2
6,-111.77000,-111.69100,-0.07900,Tree2
7,-111.10300,-111.12400,0.02100,Tree1
8,-76.92440,-76.98920,0.06480,Tree1
9,-138.49300,-140.86099,2.36800,Tree1
10,-154.45399,-154.92500,0.47100,Tree1
11,-123.93600,-123.87200,-0.06400,Tree2
12,-159.46001,-159.44901,-0.01100,Tree2
13,-141.75400,-142.06900,0.31500,Tree1
14,-95.78670,-95.79000,0.00330,Tree1
15,-81.82840,-81.90680,0.07840,Tree1
16,-188.26401,-188.42200,0.15800,Tree1
17,-170.08800,-169.92101,-0.16700,Tree2
18,-42.54440,-42.52120,-0.02320,Tree2
19,-134.07201,-133.91299,-0.15900,Tree2
20,-123.96100,-123.97300,0.01200,Tree1
21,-120.09900,-120.12900,0.03000,Tree1
22,-95.50280,-95.88000,0.37720,Tree1
23,-117.01600,-117.12300,0.10700,Tree1
24,-126.34300,-126.48900,0.14600,Tree1
25,-151.89600,-150.14700,-1.74900,Tree2
26,-172.78999,-172.74200,-0.04800,Tree2
27,-119.83200,-119.78400,-0.04800,Tree2
28,-179.68401,-179.05701,-0.62700,Tree2
29,-88.11280,-88.05870,-0.05410,Tree2
30,-51.82110,-51.84520,0.02410,Tree1
31,-149.50000,-149.91901,0.41900,Tree1
32,-161.56599,-161.33600,-0.23000,Tree2
33,-78.04290,-78.07520,0.03230,Tree1
34,-91.87390,-91.90190,0.02800,Tree1
35,-143.81700,-143.84399,0.02700,Tree1
36,-141.13901,-140.33099,-0.80800,Tree2
37,-66.06620,-66.05350,-0.01270,Tree2
38,-170.25600,-170.25000,-0.00600,Tree2
39,-136.81500,-136.79601,-0.01900,Tree2
40,-66.69070,-66.72670,0.03600,Tree1
41,-141.45100,-141.37900,-0.07200,Tree2
42,-97.21800,-97.23790,0.01990,Tree1
43,-162.12900,-162.48000,0.35100,Tree1
44,-123.43300,-123.34300,-0.09000,Tree2
45,-133.59200,-134.03700,0.44500,Tree1
46,-144.05499,-144.11099,0.05600,Tree1
47,-75.31740,-75.42840,0.11100,Tree1
48,-31.65390,-31.72610,0.07220,Tree1
49,-110.77300,-110.92500,0.15200,Tree1
50,-147.44099,-147.32500,-0.11600,Tree2
51,-76.92930,-76.92490,-0.00440,Tree2
52,-84.88290,-84.93330,0.05040,Tree1
53,-124.42900,-124.35900,-0.07000,Tree2
54,-115.68600,-115.58800,-0.09800,Tree2
55,-169.58900,-169.45900,-0.13000,Tree2
56,-133.86400,-134.15401,0.29000,Tree1
57,-168.64000,-168.59399,-0.04600,Tree2
58,-163.80901,-163.84100,0.03200,Tree1
59,-144.85800,-144.87900,0.02100,Tree1
60,-89.53730,-89.50550,-0.03180,Tree2
61,-150.69200,-150.64000,-0.05200,Tree2
62,-95.85580,-95.80350,-0.05230,Tree2
63,-85.88590,-85.89240,0.00650,Tree1
64,-98.05560,-98.05660,0.00100,Tree1
65,-46.40390,-46.34790,-0.05600,Tree2
66,-29.36050,-29.33650,-0.02400,Tree2
67,-69.56960,-69.56390,-0.00570,Tree2
68,-59.80010,-59.77660,-0.02350,Tree2
69,-32.87140,-32.84910,-0.02230,Tree2
70,-59.62520,-59.67970,0.05450,Tree1
71,-156.32100,-156.36900,0.04800,Tree1
72,-52.36650,-52.37660,0.01010,Tree1
73,-180.01500,-179.52699,-0.48800,Tree2
74,-104.89400,-104.90900,0.01500,Tree1
75,-179.36501,-179.45399,0.08900,Tree1
76,-140.73399,-141.04500,0.31100,Tree1
77,-142.52901,-142.65401,0.12500,Tree1
78,-90.99310,-90.98160,-0.01150,Tree2
79,-144.20200,-144.11301,-0.08900,Tree2
80,-64.29580,-64.29200,-0.00380,Tree2
81,-89.37120,-89.46020,0.08900,Tree1
82,-35.14950,-35.20820,0.05870,Tree1
83,-131.58099,-130.67000,-0.91100,Tree2
84,-164.27699,-164.06200,-0.21500,Tree2
85,-65.25800,-65.27550,0.01750,Tree1
86,-33.77650,-33.79580,0.01930,Tree1
87,-167.50800,-167.86900,0.36100,Tree1
88,-173.64900,-173.34599,-0.30300,Tree2
89,-26.42850,-26.50730,0.07880,Tree1
90,-151.28600,-152.77600,1.49000,Tree1
91,-184.77100,-185.03700,0.26600,Tree1
92,-75.23660,-75.29190,0.05530,Tree1
93,-54.38540,-54.27720,-0.10820,Tree2
